Device,Wattage (W),Quantity,Hours/Day,Days/Month,Energy (kWh/Month)
Smartboard,392,15,10.1,29,1721.73
Ceiling Fan,913,15,4.4,30,1821.94
Smartboard,722,18,8,26,2704.16
Tube Light,570,3,2.3,24,96.1
Water Cooler,699,8,6.6,21,774.18
Water Cooler,982,14,1.2,28,462.83
AC (1.5 Ton),843,19,6.6,16,1689.69
Tube Light,121,9,9.2,11,110.38
Heater,1760,9,6.3,10,1002.83
Printer,1530,3,10.9,24,1196.47
Printer,1985,3,5.6,14,470.46
Projector,404,13,6,26,824.35
LED Light,1945,11,3.5,20,1481.66
Computer,1968,2,2.4,11,104.7
Water Cooler,500,5,10.3,16,410.92
Computer,1509,11,6.7,21,2351.37
Ceiling Fan,1627,16,2.1,22,1192.61
Projector,1631,20,11.6,18,6830.09
Tube Light,643,14,4.4,24,949.25
Ceiling Fan,1823,9,2.1,20,672.91
Water Cooler,1747,15,4.5,18,2104.45
AC (1.5 Ton),1606,9,9.5,29,3961.2
Tube Light,171,9,11.9,29,532.86
Lab Equipment,1477,5,8.8,11,718.54
Smartboard,817,3,2,23,112.68
Tube Light,622,7,1.7,14,106.45
Ceiling Fan,750,10,11.7,25,2191.65
Smartboard,113,7,7.5,20,119.24
Printer,1399,17,5.3,18,2288.59
Fridge,1035,13,7.4,25,2487.08
Heater,1286,9,2.6,24,712.66
Computer,750,17,8.2,22,2291.87
LED Light,1202,2,10.2,15,367.92
AC (1.5 Ton),1595,3,5.2,15,373.17
Computer,1082,14,1,19,292.14
Smartboard,1208,15,5.5,10,989.77
Printer,729,20,1.6,10,239.66
Tube Light,1789,6,7.8,27,2274.33
Printer,1678,5,11.2,27,2536.41
Lab Equipment,1925,9,2.2,10,378.06
Ceiling Fan,949,20,11,13,2723.74
AC (1.5 Ton),1835,15,2.5,27,1830.89
Water Cooler,1152,15,10.7,25,4608.23
Heater,632,1,3.7,21,48.93
Smartboard,1649,17,4.7,14,1835.09
WiFi Router,174,11,10.9,20,418.95
Tube Light,1680,19,4.7,16,2396.12
Lab Equipment,780,10,9,27,1899.28
LED Light,1286,2,9.9,22,561.56
Lab Equipment,1752,10,5.2,18,1627.1
Water Cooler,1636,5,10.8,14,1235.65
Fridge,1679,16,10.7,14,4035.33
Lab Equipment,568,3,5.4,14,128.22
Heater,450,1,4.6,10,20.78
Water Cooler,1320,6,9.3,22,1625.9
Projector,450,12,11.5,28,1734.06
LED Light,1331,12,2.8,28,1244.01
Computer,656,19,5.2,29,1893.88
Projector,1656,5,11,17,1546.48
Printer,1094,2,1.5,24,79.78
Fridge,439,15,10.5,19,1317.88
LED Light,1456,19,9,10,2485.65
Water Cooler,352,20,3.6,14,350.05
Ceiling Fan,1901,2,10.7,29,1183.7
LED Light,1051,13,5.7,27,2118.75
Heater,1226,9,6.2,14,960.75
Ceiling Fan,1276,20,11.9,16,4866.66
AC (1.5 Ton),609,5,4.5,13,176.57
Heater,132,16,9.7,23,473.6
Computer,1404,9,3.1,15,586.27
Ceiling Fan,1459,17,1.4,19,657.16
Projector,1369,4,7.7,27,1139.98
Water Cooler,1524,19,5.7,25,4150.07
Water Cooler,965,19,4,28,2070.14
Computer,1793,15,8.5,28,6423.23
Smartboard,667,8,7.3,27,1055.74
Tube Light,1511,7,7.2,16,1217.6
AC (1.5 Ton),45,18,2.3,20,37.03
Water Cooler,1379,18,10.8,30,8013.05
Heater,683,19,6.6,29,2499.41
Computer,989,18,4.7,14,1181.07
Computer,53,14,2.2,20,33.29
Heater,61,19,8.6,15,150.18
Printer,29,7,2,13,5.18
Water Cooler,1027,15,7.3,30,3393.86
WiFi Router,368,14,8.5,21,923.66
Water Cooler,1037,7,3.7,28,754.76
Smartboard,59,20,5.6,14,93.11
LED Light,686,18,8.2,12,1210.81
Water Cooler,869,20,8.4,21,3077.53
Water Cooler,1069,2,7.7,27,443.39
Heater,1091,20,6.2,22,2999.66
Smartboard,192,4,3.4,12,31.27
AC (1.5 Ton),1761,16,11.6,10,3264.73
Lab Equipment,795,19,3.7,15,841.1
Computer,949,15,6,15,1274.59
Printer,1475,1,4.1,13,79.39
Water Cooler,1147,15,8.3,15,2146.31
Heater,572,19,3.4,15,548.83
WiFi Router,937,18,10.4,16,2794.09
AC (1.5 Ton),413,5,6.6,24,328.08
Projector,1265,18,1.5,10,339.54
Tube Light,261,16,2.8,26,308.81
Tube Light,560,9,4.4,21,460.59
Heater,309,19,5.4,23,725.77
Projector,816,18,9.9,16,2337.19
Projector,1363,14,5.1,17,1650.51
Water Cooler,580,15,6.7,11,637.29
AC (1.5 Ton),955,15,1.3,20,374.48
Smartboard,266,7,2.2,11,45.09
Water Cooler,978,16,3.8,26,1541.5
LED Light,1803,16,5.5,12,1899.37
Heater,526,10,11.2,10,586.77
Fridge,1739,17,6,18,3212.49
Ceiling Fan,751,15,4.9,18,1002.15
Ceiling Fan,1006,9,1.1,18,181.58
Smartboard,1224,6,1.2,22,192.77
Fridge,1793,11,9.7,25,4788.15
Lab Equipment,1386,5,2.5,10,170.1
Smartboard,1411,19,5.9,21,3322.76
Smartboard,1650,10,5.2,18,1549.43
Printer,595,17,11.1,11,1237.51
Printer,874,14,6.4,16,1257.48
Smartboard,659,2,11.3,17,252.89
Tube Light,377,15,7.3,30,1231.72
Smartboard,1653,5,10.1,21,1753.76
Fridge,1873,19,2.7,23,2234.95
LED Light,879,5,6.1,28,745.86
Fridge,1343,18,9.9,27,6452.68
Heater,882,18,2.5,25,1000.76
Computer,1823,12,3.9,16,1380.36
Ceiling Fan,404,16,4,20,522.59
AC (1.5 Ton),1986,18,5.9,22,4665.78
Smartboard,253,3,6.4,11,53.41
Computer,906,18,3.8,27,1689.99
Projector,1459,17,2.1,11,559.63
Smartboard,1131,14,11.9,11,2068.7
Fridge,137,5,2.7,18,33.69
Ceiling Fan,1173,17,9.2,29,5303.68
WiFi Router,1303,10,11.3,25,3681.95
LED Light,1655,5,6.4,16,845.48
Tube Light,835,15,11.9,12,1784.45
Heater,109,4,3.3,24,34.04
Water Cooler,1014,6,6.1,18,666.89
Smartboard,1242,10,8.4,12,1248.99
AC (1.5 Ton),1372,8,4.8,19,1004
Computer,1563,12,1,26,506.66
WiFi Router,1438,15,7.1,25,3852.08
Smartboard,409,10,5.2,16,337.16
Lab Equipment,1932,11,8.6,15,2731.67
Ceiling Fan,251,16,2.4,16,152.19
WiFi Router,876,14,8.9,15,1635.12
Projector,1859,18,2.9,25,2415.4
Water Cooler,325,7,5.5,26,324
LED Light,934,1,8.1,26,196.56
Water Cooler,1187,11,9.8,25,3188.05
LED Light,1355,14,3.8,17,1210.95
WiFi Router,1904,17,5.4,13,2257.51
Water Cooler,1482,15,6,25,3314.18
Smartboard,1652,7,10.5,24,2917.54
Ceiling Fan,338,17,6.2,25,884.86
LED Light,1470,17,10.8,18,4841.64
Computer,1604,10,4.3,14,971.84
Ceiling Fan,320,18,4.4,25,638
Computer,480,9,5.1,10,219.09
Fridge,421,5,2.1,14,62.88
Tube Light,125,2,7.8,11,21.51
Computer,1950,7,9.3,26,3283.19
Heater,1964,12,8.3,11,2145.86
Lab Equipment,962,9,3,12,312.15
AC (1.5 Ton),1925,18,10.3,20,7133.67
Lab Equipment,280,14,3.7,23,331.79
Computer,1138,15,6.7,27,3075.03
Printer,1942,6,2.1,26,644.9
Projector,389,9,8.7,24,731.8
Projector,563,13,11.6,24,2032.25
Printer,1841,16,11.9,14,4922.17
Ceiling Fan,1375,6,3.9,17,544.64
Water Cooler,1514,15,5.2,25,2935.71
WiFi Router,1640,20,10.2,15,5038.58
Lab Equipment,1944,4,1.3,28,273.18
AC (1.5 Ton),1169,18,6,24,3023.97
Ceiling Fan,1255,13,4.6,21,1565.96
WiFi Router,1751,3,3.6,28,534.88
Computer,430,15,10.9,27,1891.73
Projector,73,18,6.6,30,258.42
Smartboard,1623,4,8,13,678.74
Heater,1395,9,8.6,13,1396.96
Water Cooler,1784,2,8,19,540.44
Ceiling Fan,1254,4,8.2,10,411.32
Lab Equipment,233,19,1.2,16,85.44
Ceiling Fan,1220,9,2.6,21,601.29
WiFi Router,626,20,6.6,26,2159.41
Printer,891,20,4.1,16,1170.06
WiFi Router,379,14,5.4,10,284.57
Fridge,1245,11,2.3,12,383.94
Projector,567,1,2.6,16,23.54
Fridge,1960,13,1.5,24,946.53
LED Light,581,15,11.1,26,2504.25
WiFi Router,954,14,3,20,795.74
Computer,723,15,5.4,22,1280.62
Ceiling Fan,1042,17,2.9,26,1315.85
Heater,1817,18,8.1,21,5555.37
Printer,613,8,4.1,12,239.58
Tube Light,1374,16,5,13,1416.38
Heater,578,18,3.1,24,772.14
Tube Light,391,9,8.5,24,717.73
Printer,1819,19,5.2,16,2888.07
AC (1.5 Ton),1361,16,6.5,15,2110.41
Ceiling Fan,1436,17,9.5,14,3262.67
Projector,895,5,5.7,10,253.31
WiFi Router,1229,10,8.3,24,2439.04
Water Cooler,1301,20,5.2,22,2965.85
LED Light,1900,19,9.3,29,9783.15
WiFi Router,1054,12,7.1,25,2232.13
WiFi Router,925,19,4,19,1342.98
Ceiling Fan,39,10,2.3,14,12.3
Smartboard,833,13,4.9,26,1371.81
Lab Equipment,914,9,4.6,25,937.54
Computer,634,4,8.7,24,531.53
Fridge,1218,17,11.2,19,4394.7
Projector,1882,8,9.3,24,3356.88
Heater,1572,14,6.7,13,1912.83
Projector,317,14,10.6,22,1037.55
Lab Equipment,1160,7,1.5,24,294.85
Fridge,376,16,11.1,30,2002.07
Smartboard,510,19,9.6,13,1203.78
Printer,737,4,9.3,19,521.66
Computer,1659,13,8.9,17,3259.62
Heater,994,8,3,25,596.04
Ceiling Fan,704,14,7.4,25,1817.6
AC (1.5 Ton),392,17,1.6,27,294.98
LED Light,1826,13,3.6,26,2197.55
Water Cooler,787,2,7.3,26,297.98
Tube Light,1825,3,1.7,20,185.71
Projector,1168,16,4,17,1286.08
Computer,1456,1,1.2,11,19.6
WiFi Router,392,11,9,21,815.24
Smartboard,107,10,4.8,20,103.07
Computer,234,7,10.7,30,524.88
WiFi Router,1964,7,10.4,29,4155.26
Heater,1862,16,2.7,27,2136.7
Lab Equipment,927,2,4.3,27,214.75
Projector,110,15,4.1,27,183.61
Computer,136,2,10,15,40.99
Ceiling Fan,335,3,9.8,14,138.27
Heater,682,3,8.2,11,184.49
Printer,1668,8,7.2,20,1934.27
Lab Equipment,1197,12,5.7,27,2195.01
Fridge,1035,4,5,12,248.81
Fridge,1412,18,7,16,2831.55
Water Cooler,616,16,9.1,16,1440.99
AC (1.5 Ton),817,10,10.1,19,1562.98
Water Cooler,1352,19,5.5,25,3531.64
Projector,1688,7,2.3,15,415.19
Computer,1416,11,8.6,30,4017.99
Projector,1288,13,9,11,1655.49
Tube Light,848,18,8.2,27,3367.56
Ceiling Fan,639,8,4.9,24,595.46
LED Light,850,17,7.3,15,1582.17
Fridge,797,2,3.1,12,59.64
Lab Equipment,541,10,4.4,10,239.65
Computer,37,8,3.6,19,20.39
Ceiling Fan,140,11,2.7,15,63.3
Ceiling Fan,1583,11,10.1,22,3869.63
WiFi Router,88,8,6.7,27,127.86
Heater,1871,2,11.3,25,1058.62
Projector,997,4,1.8,30,209.46
AC (1.5 Ton),1995,2,3.7,25,367.11
WiFi Router,194,16,4.9,14,211.35
WiFi Router,1200,6,11,13,1033.29
Tube Light,1716,9,6,18,1662.1
Fridge,1683,1,11.3,18,342.24
Printer,986,19,2.1,18,715.39
Ceiling Fan,1673,20,3.8,26,3330.66
Fridge,835,8,10.7,20,1424.49
Fridge,1510,7,2.7,19,544.12
Computer,291,14,3,10,120.49
Ceiling Fan,1898,19,8.5,10,3081.67
Tube Light,335,18,11,22,1465.38
Fridge,832,10,4.3,20,709
Smartboard,255,5,4.8,13,79.06
Tube Light,945,17,9.8,10,1566.71
Printer,1714,16,7.5,14,2870.08
Lab Equipment,752,1,3.1,20,46.48
Tube Light,281,16,10,23,1038.35
AC (1.5 Ton),975,9,7.7,23,1550
Water Cooler,1819,11,2.5,21,1046
Ceiling Fan,1123,5,11.6,18,1168.45
AC (1.5 Ton),1012,15,1.9,30,848.81
Ceiling Fan,928,10,9.3,15,1291.36
Tube Light,1209,9,9.9,29,3124.73
Tube Light,1119,19,11.6,12,2960.99
Projector,886,5,2.2,16,155.98
Projector,1177,8,1.3,30,380.73
Fridge,1216,18,5.2,17,1943.24
Smartboard,824,5,2.9,14,165.7
Heater,1842,12,10.6,26,6095.75
Computer,1226,20,10.3,13,3292.15
LED Light,1023,8,11.6,17,1612.77
WiFi Router,152,12,5,26,236.9
Ceiling Fan,1741,3,6.6,13,445.18
Tube Light,1189,15,10.1,17,3051.04
Water Cooler,545,16,4,24,846.21
Ceiling Fan,564,12,3.3,28,626.18
Smartboard,297,11,9.3,11,333.36
WiFi Router,1369,18,4.1,12,1225.65
Smartboard,1690,1,3.7,25,155.01
Ceiling Fan,506,15,10,25,1889.41
AC (1.5 Ton),1782,7,5.6,30,2086.57
Computer,299,15,6.7,27,810.2
Printer,509,15,10.2,20,1564.52
AC (1.5 Ton),1399,20,10.4,16,4660.84
WiFi Router,84,17,10.8,12,185.87
WiFi Router,82,2,8,24,31.42
Smartboard,958,10,6,22,1266.36
Water Cooler,1189,6,10.4,26,1929.49
Computer,1854,17,6.5,28,5717.85
Computer,1416,10,2.7,22,840.59
LED Light,893,17,5.3,19,1524.22
Ceiling Fan,373,16,7.6,17,768.82
Computer,1520,11,5.6,12,1132.95
Smartboard,558,1,8.1,12,53.96
Heater,814,19,10.9,16,2691.54
Lab Equipment,391,9,9.8,15,516.26
Ceiling Fan,1810,6,6.8,13,965.34
Smartboard,730,7,2.6,18,239.58
Water Cooler,1999,15,3.8,24,2736.14
Tube Light,1437,6,2.9,20,507.3
Water Cooler,891,13,11.3,14,1837.98
Ceiling Fan,755,8,11.4,21,1450.49
Printer,620,2,11.9,29,426.72
Tube Light,256,7,11.1,26,515.37
Printer,1398,3,5.3,27,595.29
Projector,702,20,10,12,1692.63
Water Cooler,809,3,11.2,23,623.87
Tube Light,1684,19,3,11,1045.83
Projector,975,6,3.7,12,261.9
WiFi Router,1028,20,8.8,15,2721.33
WiFi Router,720,15,6.4,13,902.62
Heater,1999,16,5.5,27,4757.74
Printer,1820,7,6.1,11,860.71
Fridge,1298,14,11.8,17,3640.54
Lab Equipment,1724,4,6.9,27,1290.66
Heater,1772,7,6,22,1626.75
Fridge,1270,14,4.7,23,1926.37
AC (1.5 Ton),1722,12,5.7,13,1535.68
AC (1.5 Ton),603,16,9.6,21,1936.66
Tube Light,508,4,7.3,24,353.62
Ceiling Fan,1737,1,7,27,328.87
Heater,1502,14,1.3,17,454.74
Fridge,719,6,3.2,24,329.5
Fridge,595,3,5.1,23,208.4
Ceiling Fan,557,6,6.9,24,552.2
Printer,670,4,9.1,12,291.89
Water Cooler,853,11,1.4,28,360.33
Tube Light,376,17,10,10,638.43
Projector,1366,10,7.8,23,2437.68
Ceiling Fan,1557,20,7.8,22,5331.93
WiFi Router,180,5,10.9,25,245.24
Fridge,1342,10,8.8,30,3545.84
WiFi Router,371,20,2.1,12,188.77
Projector,807,3,2.9,24,169.84
WiFi Router,929,19,8.3,17,2492.02
LED Light,781,4,8.1,14,352.3
AC (1.5 Ton),1228,19,1.6,26,980.09
LED Light,336,15,8.5,19,816.5
Water Cooler,1740,5,11.8,24,2459.59
Projector,710,17,4.4,12,640.87
Computer,1278,13,9.9,22,3633.84
Tube Light,412,3,3.4,11,46.67
Lab Equipment,909,20,1.8,23,772.45
WiFi Router,844,19,2.7,19,819.72
WiFi Router,1419,7,6.6,16,1046.52
Lab Equipment,1530,13,10.7,18,3816.82
Ceiling Fan,808,1,8,24,154.82
WiFi Router,378,20,8.9,15,1014.11
Ceiling Fan,1880,4,8.8,26,1720.34
Water Cooler,241,16,1.1,16,69.05
Water Cooler,1252,16,2.1,17,730.32
Printer,1156,3,2.1,22,158.15
Water Cooler,1442,3,6.3,19,519.7
Water Cooler,179,5,1.7,11,16.87
Tube Light,437,9,1.7,21,140.04
AC (1.5 Ton),1529,15,8.9,15,3065.94
Lab Equipment,17,6,1.2,19,2.42
Projector,1518,13,8.9,21,3669.46
WiFi Router,698,6,8.2,22,757.57
Printer,1002,7,3.6,28,699.45
Smartboard,1524,15,2.4,29,1598.61
Tube Light,1667,20,5.8,13,2498.3
Fridge,766,1,2.1,13,20.91
Lab Equipment,880,9,1,18,144.67
Printer,712,19,7.6,23,2371.31
Computer,760,15,11.7,29,3856.96
Computer,825,18,7.7,16,1835.85
Lab Equipment,1948,1,9.5,21,387.06
Tube Light,1905,6,5.1,30,1756.07
Water Cooler,1451,10,5.8,30,2534.31
Ceiling Fan,147,20,11.6,27,921.78
LED Light,883,10,11.3,16,1598.78
Projector,278,5,4.1,14,79.18
Water Cooler,681,20,11.9,11,1776.45
WiFi Router,1399,20,2.1,24,1416.93
AC (1.5 Ton),266,20,8.4,22,984.69
Water Cooler,877,6,2.6,30,416.18
Water Cooler,1965,11,7.1,20,3053.98
Heater,301,11,8.4,26,719.1
Projector,1875,8,7.2,17,1824.33
LED Light,1122,4,1.9,16,133.95
WiFi Router,18,9,9.3,23,34.84
Heater,1513,2,10,24,728.6
Tube Light,1257,10,6.7,21,1773.54
AC (1.5 Ton),1740,6,7.1,29,2144.45
AC (1.5 Ton),1095,19,1.4,26,733.48
Lab Equipment,12,14,8.1,25,33.83
Smartboard,813,20,1.7,23,646.36
Ceiling Fan,1043,6,10,21,1310.71
Ceiling Fan,1007,10,7.4,11,823.88
Smartboard,1448,20,5.2,12,1810.3
Printer,1688,9,3.1,24,1118.48
LED Light,162,17,9.5,10,261.43
LED Light,1744,12,9.3,30,5819.88
Smartboard,630,1,5,15,46.92
Tube Light,1081,16,6.3,24,2631.58
Ceiling Fan,616,20,7.4,21,1915.59
Ceiling Fan,323,11,2,27,194.83
Heater,1133,17,5.9,21,2397.11
Fridge,1403,18,2.8,25,1737.66
AC (1.5 Ton),75,10,10.3,30,231.22
WiFi Router,1077,13,5.5,17,1307.56
Heater,998,18,6,16,1711.99
Ceiling Fan,840,7,9.4,18,999.12
Fridge,1870,3,9.7,18,981.54
Water Cooler,1256,9,3.3,16,601.01
Tube Light,997,17,6.5,23,2540.7
Fridge,1342,11,11.9,25,4390.72
Computer,300,17,4.8,15,366.8
Smartboard,1974,15,11.1,19,6239.96
Lab Equipment,1976,4,9.1,17,1219.07
Printer,1717,15,9.9,11,2795.69
Projector,1067,8,8.8,13,974.77
Tube Light,990,8,6.9,25,1359.25
AC (1.5 Ton),258,12,8,12,295.99
Smartboard,1718,7,6.6,27,2156.58
Ceiling Fan,1078,17,10.5,18,3466.24
Tube Light,958,10,2.1,23,459.54
Ceiling Fan,112,10,5.3,18,105.88
Projector,1103,15,1,16,272.23
Tube Light,608,8,2.2,23,242.32
Tube Light,1197,19,6.4,16,2339.87
AC (1.5 Ton),464,13,10.2,20,1226.08
Lab Equipment,933,15,9,21,2640.82
LED Light,331,16,10.8,28,1604.92
Tube Light,12,12,2.1,18,5.55
Tube Light,437,18,1.7,22,286.73
Computer,333,14,1.3,21,129.2
Ceiling Fan,909,7,1.2,11,86.7
Water Cooler,1111,4,3.9,11,191.64
WiFi Router,1225,9,6.4,20,1406.63
Printer,187,10,11.1,30,623.36
Heater,1195,13,2.3,17,609.95
AC (1.5 Ton),304,18,2.4,20,267.94
LED Light,1415,6,8.4,17,1214.33
Ceiling Fan,989,9,10.8,21,2022.58
Lab Equipment,190,10,7.9,14,211.09
Smartboard,1312,4,3.8,19,382.57
Projector,455,11,5.7,24,680.89
WiFi Router,1694,11,3.7,24,1671.02
Smartboard,1910,4,5,22,845.56
Lab Equipment,107,2,5.7,27,33.2
LED Light,538,19,10.2,22,2290.31
Lab Equipment,1004,13,9.5,14,1731.47
Ceiling Fan,1681,8,5.2,25,1742.87
Projector,1722,19,11,14,5060.02
LED Light,1877,6,6.7,23,1731.14
Smartboard,1343,2,3.2,23,194.65
WiFi Router,1572,8,7.7,29,2806.42
Fridge,1676,2,1.3,22,92.21
Ceiling Fan,1930,18,8.3,21,6076.84
Lab Equipment,1892,18,7.8,21,5564.4
Ceiling Fan,1543,14,10.1,26,5660.28
LED Light,1645,18,4.3,27,3442.54
Ceiling Fan,117,10,3.3,10,38.04
Fridge,591,5,6.9,14,286.87
Ceiling Fan,1493,18,9,25,6076.21
Lab Equipment,1942,20,2.1,21,1717.15
AC (1.5 Ton),186,16,2.3,15,104.23
Smartboard,1936,20,1.7,24,1571.74
Projector,188,16,3.3,21,207.59
Fridge,1171,9,8.5,11,982.49
Projector,436,19,9.4,25,1937.16
Ceiling Fan,705,16,9.5,12,1282.39
Lab Equipment,152,2,4.4,30,40.56
Water Cooler,436,9,3.8,20,294.51
Smartboard,931,12,3.7,16,658.8
Tube Light,680,1,3.3,23,51.95
Projector,378,12,4.1,28,520.71
Ceiling Fan,1253,18,12,18,4867.36
Fridge,1453,14,2.2,30,1346.55
Water Cooler,1425,20,3.8,24,2571.54
Projector,1020,17,9.3,19,3068.46
Computer,1725,17,9.6,24,6777.64
Projector,110,13,10.4,12,179.15
Printer,112,8,3.7,23,75.69
Heater,640,10,11.5,21,1548.79
Tube Light,560,3,11.1,26,486.05
WiFi Router,1252,7,1.1,22,217.74
Lab Equipment,1155,3,4.5,15,236.08
Smartboard,1823,8,10.8,21,3315.74
LED Light,1003,5,10.3,16,828.91
Water Cooler,679,16,1.4,22,342.83
LED Light,1718,13,5.4,14,1696.9
Tube Light,324,7,10.5,22,523.35
Smartboard,174,5,5.2,11,49.41
Projector,1281,6,9.1,12,843.4
Tube Light,561,1,1.9,23,24.77
Lab Equipment,1093,5,10.5,10,576.49
Computer,26,8,7.1,30,44.46
Lab Equipment,1870,15,6.7,20,3768.35
LED Light,106,10,4.7,16,78.96
LED Light,1387,11,6.4,25,2453.67
Ceiling Fan,1333,10,5.3,22,1540.18
LED Light,1747,17,6.4,15,2866.44
Lab Equipment,1835,5,6.5,14,832.53
Ceiling Fan,1564,10,4.2,18,1172.74
Tube Light,1449,13,6.4,15,1806.86
AC (1.5 Ton),1892,16,8.8,10,2676.35
AC (1.5 Ton),1556,5,3.8,19,566.95
Heater,1995,13,9.6,17,4223.07
Ceiling Fan,1307,18,8,14,2635.32
Heater,1020,10,5.2,22,1173.87
WiFi Router,1558,17,10.9,13,3745.99
Water Cooler,1284,16,3.7,11,844.43
Computer,1173,17,6.4,19,2435.46
Water Cooler,1416,14,6,16,1895.59
Tube Light,431,6,2,29,147.05
AC (1.5 Ton),117,20,7.3,18,306.54
Ceiling Fan,1948,1,3,20,116.26
Lab Equipment,333,20,4,24,636.56
Water Cooler,805,11,6.4,24,1349.82
AC (1.5 Ton),1784,11,10.6,23,4762.81
Smartboard,1056,15,11,22,3829.65
Ceiling Fan,169,19,1.7,10,55.71
LED Light,950,15,10.8,22,3372.58
Ceiling Fan,1134,1,7.6,24,208.03
WiFi Router,1148,16,5.1,28,2638.18
Smartboard,1198,6,9.6,15,1037.54
Lab Equipment,1721,19,4,17,2228.29
WiFi Router,1200,2,11.3,22,598.99
Lab Equipment,1197,17,11.5,22,5169.21
Projector,180,4,4.2,14,42.7
WiFi Router,399,2,6.5,22,114.39
WiFi Router,1947,17,2.3,29,2199.57
Heater,1071,7,11.4,21,1793.59
Fridge,54,6,9.2,13,38.64
Projector,902,1,9.8,28,247.29
Projector,666,1,1.5,10,9.8
WiFi Router,1671,14,4.1,15,1423.86
Printer,1943,19,2.3,13,1114.08
Lab Equipment,797,17,9.3,26,3276.33
LED Light,214,15,3.2,27,274.65
Tube Light,1873,16,8.1,26,6308.92
Computer,900,14,9.7,17,2072.07
Heater,456,5,8.2,28,521.99
Heater,1797,9,2.2,22,773.16
AC (1.5 Ton),463,2,8.8,21,171.59
LED Light,1939,16,8.7,21,5687.37
Heater,70,5,5.1,25,44.71
Projector,1482,5,4.4,10,327.66
Smartboard,1882,4,7,21,1110.97
Lab Equipment,1563,8,9,24,2714.02
LED Light,1920,17,10,23,7479.06
Fridge,1672,5,6.8,16,915.74
Ceiling Fan,460,6,3.6,13,127.79
Lab Equipment,1248,19,3.7,12,1043.18
Computer,1141,13,1.6,29,684.1
WiFi Router,832,18,2.2,23,774.7
Smartboard,1302,20,4.9,13,1651.18
Water Cooler,764,8,8,19,928.64
Water Cooler,933,11,3.9,30,1194.18
LED Light,812,16,3.7,18,854.78
Water Cooler,1042,7,2.3,27,450.58
Printer,957,16,11,16,2688.17
Printer,722,6,4.9,26,556.05
LED Light,873,2,3.7,21,134.6
Ceiling Fan,794,20,7.2,19,2186.63
Lab Equipment,580,18,11.1,17,1968.47
Projector,740,18,10.5,15,2100.17
Lab Equipment,539,20,7.7,18,1487.96
Projector,1076,11,7,22,1815.69
Lab Equipment,1559,12,3.8,18,1279.9
AC (1.5 Ton),233,18,6.8,24,685.46
Smartboard,895,13,6.6,20,1533.55
Ceiling Fan,1522,1,1.5,29,65.7
AC (1.5 Ton),1795,10,9.3,20,3327.04
Lab Equipment,651,10,2.7,17,298.58
Lab Equipment,1743,2,2,10,71.04
Heater,194,10,4.5,14,123.14
Fridge,1952,14,2.6,21,1506.32
Fridge,777,14,3.7,27,1094.28
Projector,101,8,11.1,23,205.62
Projector,871,9,7.7,25,1506.37
Fridge,802,20,7.3,15,1751.62
Heater,731,7,2.7,24,332.16
Smartboard,1836,16,3.3,19,1849.78
Heater,1410,12,6.2,24,2517.24
Tube Light,858,4,4.3,19,277.53
Smartboard,1697,7,2.8,19,639.97
Projector,1827,12,11,20,4832.27
WiFi Router,461,6,3.5,14,137.45
Printer,1311,1,2.2,16,45.35
AC (1.5 Ton),1282,12,7.5,25,2866.59
Tube Light,1628,20,8.3,27,7336.36
WiFi Router,137,10,3.1,24,100.54
Projector,1867,19,3.7,29,3822.08
Fridge,1799,7,4.7,13,767.43
Fridge,472,5,11.9,29,817.85
Fridge,1545,9,2.7,26,964.35
AC (1.5 Ton),552,11,8.8,17,908.97
Smartboard,725,4,1.5,10,42.64
Projector,1105,19,8.6,30,5403.06
Printer,681,11,10.6,26,2058.58
Water Cooler,109,9,4.9,15,72.49
LED Light,1196,7,6.6,10,553.2
WiFi Router,165,11,2.6,26,123.7
Heater,1669,17,2.8,19,1498.39
LED Light,1339,15,7.6,13,1994.55
Printer,1466,14,7.1,16,2324.76
Tube Light,431,14,11.2,15,1011.88
Tube Light,100,12,5.4,28,181.07
AC (1.5 Ton),1166,7,9.6,16,1259.96
Heater,1101,16,6.9,21,2561.58
Smartboard,1150,2,11,17,428.27
Water Cooler,1229,12,10,27,3969.66
WiFi Router,971,20,10.9,11,2337.79
Heater,119,14,7.7,11,141.34
Fridge,1663,14,6.4,20,2960.3
Lab Equipment,1834,19,3.1,25,2726.51
Water Cooler,637,2,7.1,24,217.19
Projector,68,11,11.2,14,116.94
Printer,1872,4,6.4,20,962.65
Smartboard,1110,6,2,14,190.59
LED Light,1714,16,7.9,29,6254.65
Projector,340,13,9.5,26,1096.09
AC (1.5 Ton),677,15,3.3,27,910.5
Printer,1293,5,9.7,16,998.59
AC (1.5 Ton),1091,15,11.2,27,4942.62
Printer,950,3,4.3,21,256.91
Projector,575,3,9.8,18,303.87
Ceiling Fan,1120,3,1.7,16,92.91
Projector,1042,7,3.7,14,376.34
Water Cooler,691,17,1.4,27,443.44
Tube Light,328,5,3.3,15,80.65
Printer,983,2,10.9,21,451.88
WiFi Router,827,15,4.5,19,1070.29
Smartboard,1572,13,1.6,13,429.04
Heater,847,7,10,21,1242.3
WiFi Router,1990,4,10.9,17,1471.8
WiFi Router,1554,14,2.8,16,972.79
Water Cooler,1145,9,4.9,18,912.44
Heater,815,12,8.3,23,1862.4
Tube Light,425,3,6.2,14,110.08
